marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	17685865	R1CBCUGNP37MPK	B01BOKOL4A	121408017	Jockey Women's Underwear Elance Brief - 3 Pack	Apparel	5	0	0	N	Y	The Jockey Women's Underwear are true to size. They ...	The Jockey Women's Underwear are true to size. They are my choice of underwear. I will purchase them again as I have in the past.	2015-06-10
US	19787539	R3NU4WUR5ZNV1V	B01B3Q4Q0O	134506082	Bali Passion For Comfort Minimizer Underwire Bra	Apparel	5	0	0	N	Y	Five Stars	cup size is just right.  Seems to be a little tight around.  Might just be because it is new.	2013-09-06
US	44196725	R32EPCJ3XF8LGE	B01ADDSL9U	747539045	Lilyette Women's Enchantment Three-Section Unlined Minimizer Underwire Bra	Apparel	5	0	0	N	Y	Five Stars	Perfect...	2014-11-17
US	45510794	R1XIBC6WQBW31M	B019P1X5XI	696379847	Vanity Fair Women's Perfectly Yours Ravissant Tailored Brief Panty	Apparel	5	0	0	N	Y	best ever4 for men&woman too size for men 42-44-8	best  ever4 for men&woman too size for men 42-44-8, 40-42 ,7  38-40 ,6  this for guy waist size hold man place nylon 100% best ever over 30yrs love sleep more black gym , slakes, blue jeans  chnage clothes at gym they all ask what kind underwears those, reply hey&#62;&#62; get your own pair! by vanity fair!	2013-05-12
US	42025740	R1P11MVDZ65LMH	B019MDXIXG	387286513	Warner's Women's No Wedgies No Worries Modern Brief Panty	Apparel	5	0	0	N	Y	Five Stars	Great fit.	2014-02-14
US	27097189	R1OJA3DJL0VDDK	B019438FEG	764190574	Columbia Women's Benton Springs Full-Zip Fleece Jacket	Apparel	5	0	0	N	Y	Five Stars	I have this Columbia in 5 colors and wear them all the time	2014-10-20
US	13808904	R1THWA5YRJLOOF	B0178HGNIA	816266887	Robes King RK Classical Sleepwear Mens Broadcloth Woven Pajama Set	Apparel	4	0	0	N	Y	Four Stars	My husband found these so comfy that this is our second order.	2015-07-05
US	30225894	R738LCNRSJVXP	B016VIU0QI	323924698	VIV Collection Best Selling Printed Brushed Leggings Plus Size (L - XXL) Listing 1	Apparel	5	6	7	N	Y	Awesome leggings!	Awesome leggings!! I am 5'4, 215lbs and a huge chunk of my weight is in my thighs and butt. Not exaggerating - 30 inch thighs, 52 inch butt, 37 inch waist. These leggings are buttery soft and NOT see through at all, even in sunlight! Now I purchased the 'glyph idc' black and white color so that is the one I am speaking for. I'm very impressed & ordering more ASAP.	2015-07-29
US	45223824	R1N3Z13931J3O9	B016PUU3VO	893588059	Fruit of the Loom Boys' A-Shirt (Pack of 4)	Apparel	2	0	0	N	Y	Sizes not correct, too big overall and WAY too long	I ordered the same size as I ordered last time, and these shirts were much larger than the previous order. They were also about 6 inches longer. It was like they sent men's shirts instead of boys' shirts. I'll be returning these...	2015-01-01
US	22300783	R1LBNTP7E8N89Z	B016AQNDM4	917361125	Jockey Scrubs Womens Maximum Comfort Pant	Apparel	1	0	0	N	Y	One Star	not exact in sizing	2015-02-12
US	27454671	R2HF25IURR6YT4	B01694YS8K	708072532	Angelina Womens Cozy Pajama Set	Apparel	5	0	0	N	Y	Warm Pajamas	Love these pajamas.  Be prepared to be very warm.  These are definitely meant for cold winter weather; besides that they are beautiful!	2014-11-20
US	47056516	R3LDM9VXY9P0YF	B015YCHLHS	284941731	Wacoal Women's B Smooth Hi-Cut Brief Panty, High/Rise, 2X-Large	Apparel	3	0	0	N	Y	Three Stars	Like the way they fit and feel during the day. Just wish they weren't so expensive.	2015-08-17
US	13199215	RC5YEJZ25CHQP	B015OHQNL8	922970168	Glamorise Women's #1006 Full-Figure Sports Bra	Apparel	5	0	0	N	Y	pretty color-these Glamorise bras are amazing-they hold you all day ...	pretty color-these Glamorise bras are amazing-they hold you all day long and the only complaint I can think of is how the bottom band rolls up when you sit down--but this is a universal bra issue, I think.	2012-06-12
US	13419529	R2Q9269XM2HQ0S	B0151Z12GO	734090834	Levi's Men's 501 Original-Fit Jean	Apparel	5	0	0	N	Y	Summer jeans	Excellent one from Levi's	2008-12-06
US	38675394	R1SOGXVSM19FHD	B014WCV7JY	822102569	Jerzees Men's Super Sweats Crew Neck Sweatshirt	Apparel	5	0	0	N	Y	Five Stars	Love this sweat shirt	2015-02-07
US	30740886	R2Y9D90DJYIPF3	B014WBIGKI	539149357	Gildan Men's Heavy Blend Crewneck Sweatshirt - Large - White	Apparel	4	0	0	N	Y	but is a nice sweatshirt.	The neck on this is a bit saggy, but is a nice sweatshirt.	2014-03-02
US	2457386	RKZA73V49HLSF	B014PKNCGE	53890656	New Womens Long Sleeve Blouse Tops Round Neck Plaid Checked Loose Shirt	Apparel	4	0	0	N	Y	quick arrival	Colors are great and fits as expected.	2015-08-31
US	22116819	R3R04PVN99PTJX	B014MSSP66	494754914	SEOBEAN Mens Low Rise Sexy Sport Swimwear Trunk Boxer Brief Bikini Swimsuit	Apparel	5	0	0	N	Y	Five Stars	Thank you very much, it's very beautiful	2014-08-22
US	47482829	R2Q9IFUWBLQSJP	B014M5N1WW	155078450	Flowy Womens Mommy Strong Sexy Racerback Gym Tank Top Funny Threadz Shirt	Apparel	5	0	0	N	N	Arrived quickly and looks just as image. Very comfortable!	This is the second tank I have ordered, I wear both of them often. They wash well and I receive many compliments on them!	2015-08-30
US	48401445	R23AXPXH0CUCTZ	B014LL6750	949354237	The North Face Women's ThermoBall Hybrid Hoodie - Magic Magenta	Apparel	1	3	5	N	N	Expensive Cinch Sak	I did not buy this jacket from Amazon. But it is simply the worst jacket I have ever bought. I bought this jacket for my teenage daughter in the same color as above. It is NOT that color in person. And even worse it is not thick and fluffy like it looks. It is literally so thin it was mailed from REI in a mailer the size of a manila envelope. I thought there must be some mistake...... Unfortunately it was no mistake.<br />I really wanted to buy my daughter a nice jacket , one that would last several years. I saved up my money thinking The North Face had a good reputation . How embarrassing to talk up this product and then see the great unveiling of this thin uninsulated little cinch sak.<br />Save your time and  money buying and returning it and see it in person if you are determined to buy this style and brand. Your wallet will thank you.	2015-08-28
US	4105777	R19P7NIJR1GSZ7	B014L79H8I	37617786	K Sera Sera Men's Tie Neckties Set for Gift Cufflinks+clips+handkerchief	Apparel	5	0	0	N	Y	Great Gift	Keep in mind I have never seen the product. I ordered it for my dad as a his birthday gift. He called me to say thank you and just how much he loves the color as he will be able to mix it for a few suites to make a statement. Then he called again to tell me he really like the set. He though it was more of modern feel and look. He almost make me feel like this is the only gift I've gotten him that he actually likes! Either way, this was a great gift for him.	2015-08-30
US	502031	R3DYA1XAAIV459	B014K9ETKS	293334	COCOLEGGINGS Womens Fold Over Waist Wide Leg Printed Bell Bottom Pants	Apparel	5	3	4	N	N	Five Stars	Great fit & love the print. Will probably order again.	2015-08-28
US	44617615	R258PQJQHKJ910	B014K3PHXW	514397142	Sentimental NY Womens Clubwear Mini Lace Dress W/ 2-Way Zipper Back	Apparel	5	0	0	N	N	Five Stars	awesome fit, hot style, i love it	2015-08-29
US	46404187	R1POAYIMUU9RC0	B014K01GSU	301541894	RFID Blocking Stylish Genuine Leather Wallet for Men - Excellent as Travel Bifold	Apparel	5	0	0	N	N	Excellent RFID Wallet	I received the RFID Blocking Leather Wallet. The first thing I noticed is the pebbled texture and it's very soft. I love the flip out window which makes showing your identification quick and convenient...don't have to worry about leaving your id behind! Also, the navy blue stripe patterns inside the billfold section is a nice touch. There are 8 credit card slots to pack your plastic! It's a slim design, nothing bulky here. Of course, the RFID protection built into the wallet is the best feature. Nice not to worry about scanning devices or wireless identity theft.	2015-08-28
US	10927125	R3J8AIC44NREJW	B014K01GSU	301541894	RFID Blocking Stylish Genuine Leather Wallet for Men - Excellent as Travel Bifold	Apparel	5	1	1	N	N	Roomy and soft to the touch	I love this wallet. The first thing I noticed is how soft and flexible it is. Most wallets tend to be a bit stiff, even when they are completely empty. This one is flexible enough that it is more comfortable to keep in my pocket than most wallets. The leather itself is soft and has a pebbled texture to it.<br /><br />The wallet is also nice to look at. The lining inside is black and white striped, which I thought was a bit interesting, but it grew on me pretty quickly. The edges of the wallet aren't at all rough and the seams are all well done.<br /><br />This wallet has plenty of room to hold everything I need to put in it. I also really like having two spots for for cash or papers in the back. I like being able to keep my cash separate from anything else and that isn't possible with some wallets. The RFID blocking is a great additional feature that I really appreciate.<br /><br />I love this wallet for myself, but it is also a great wallet for gifting.<br /><br />I received this item at a discount in exchange for my honest review.	2015-08-30
US	4068446	R3B99CZZ77TFVB	B014JZXVX4	494408196	KUFF Push-up/Regular Silicone Bra (Detachable straps included)	Apparel	5	0	0	N	N	Loves it!!!!	I'm a size 34B and size B fit perfectly. It is very comfortable and feels like I am wearing practically nothing. I wore it with my club dress and I forgot I was even wearing a bra. These give my tatas enough cleavage. Also it is simple to clean after you have worn it. I will probably buy more for the future!!!	2015-08-31
US	11758828	R38EXDB8DZFLPA	B014JX6JZS	683231698	Abercrombie & Fitch Women Front Graphic Tee (Large, Dark Grey Heather)	Apparel	5	0	0	N	N	Five Stars	it's fine.	2015-08-30
US	41577207	R1S1Z89GVTC5D1	B014JSF058	973678451	Norfolk Branded Men's Cushioned Running / Jogging Ankle Sports Socks - Owens	Apparel	5	0	0	N	N	Really Nice Socks,Good Quality	Super nice comfortable socks..I got all the colors and loved it...<br />Thanks for the great service.	2015-08-29
US	46726859	RZVLATXYPFM29	B014JQAJ56	760484384	Women's Long Sleeve Chiffon A-line Lace Stitching Trim Mini Dress	Apparel	2	0	0	N	N	Cute dress, Please be advised that this cute dress ...	Cute dress,  Please be advised that this cute dress runs very, very small in size. You would definitely need to order a couple sizes or even three sizes larger than normal.  I'm 5 &#34;3&#34; it is much shorter than I expected. Also very SHEER you would Definitely  have to wear a slip with it.  This would definitely be a cute dress to wear if I could have fit it.	2015-08-27
US	47482829	R3PPCD5K9IP3ZW	B014J9RULY	956237633	Trendy Suck It Up Buttercup Womens Burnout Tank Top	Apparel	5	0	0	N	N	Nice solid fit! Great for running and my yoga and Pilates classes.	Love this tank, fits about 1/2 size smaller so I suggest ordering up a size. Other than that it's a great quality tank top!	2015-08-30
US	935737	R2YUKEUAXHYFLP	B014IZE8BO	494413845	Match Men's Athletic Fit Straight Leg Casual Pants	Apparel	2	0	0	N	N	The pants were great! Just one thing	The pants were great! Just one thing...it wasn't the right color. Apparently grey means khaki but that's none of my business...<br />In all seriousness the fit was great but I would have loved to have gotten the right color.	2015-08-28
US	5836158	R3MZHC1QPJJFBD	B014IHNRVO	640906379	Pink Queen&reg; Womens Sleeveless Bodycon Bandage Knee Length Midi Dress	Apparel	5	0	0	N	N	Dress looks great on.	Dress looks great on. The wrap in front hides any tummy bulge so I can eat and not have to suck my stomach in or wear a girdle. Wish it came in more colors.	2015-08-28
US	13414752	ROF5PF9IKYOHJ	B014I5VF6U	38254504	Darth Vader T-shirt Pull My Finger and You Will Know the Power of the Dark Side T-Shirt (S-5X)	Apparel	5	1	1	N	N	Five Stars	High quality T shirt, quick shipping.	2015-08-29
US	3348867	R1POXQDVEQ2KF2	B014HFZBNE	490954370	Womens Summer Open Shoulder Chiffon Shift Dress	Apparel	1	1	1	N	Y	DISAPPOINTED	This product is a piece of s***. It doesn't look anything at all like the picture. Don't waste your money on something that you will end up regretting and then having to return. This company is horse s***.	2015-08-30
US	17276940	RAMFU8B8PE62H	B014G24NS2	478159192	Big Texas Flag - Distressed - Toddler Little Boy Hoodie Sweatshirt	Apparel	1	0	0	N	N	WRONG PLACE	ITS THE PUERTO RICAN FLAG.	2015-08-27
US	106843	R3CUDUUZ4YA0HU	B014FD18OY	824673024	SweetBridal Sweetheart Sleeveless Halter Evening Dress	Apparel	5	0	0	N	Y	The quality is good	Amazing The quality is good.Product arrived on time and as described. Will buy again from seller.	2015-08-31
US	12370186	R28U48QZH10S4T	B014FB5RLG	214930574	KRISP Women's Short Sleeve Pleated Front V-Neck Blouse Top Banded Hemline	Apparel	5	0	0	N	Y	The shirt arrived fine, but as soon as I opened it I ...	The shirt arrived fine, but as soon as I opened it I could tell that it would be more of a dress for me than a shirt(I am 5'3&#34;)It hits about mid thigh on me. The shirt itself is large but I will not fault that on the seller since I ordered a little on the large size but it was a lot larger than I expected. Everything else is great though, I love the feel of the shirt, it is very soft. I wanted a different color than black, but that just gives me an excuse to get another shirt.	2015-08-28
US	10012042	R1H977N2YSYWU5	B014EQRMVK	190205978	ANGVNS Women's Short Sleeve Off Shoulder White Cotton Top T-shirt Blouse	Apparel	5	2	3	N	N	Five Stars	Love love love this shirt 😀  fits good and comfy .	2015-08-27
US	6291789	R33HFP9HM76ARW	B014EPQ1WW	750793205	Amdirect 5 Drawer Jewelry &amp; Cosmetic Storage Organizer, Clear	Apparel	5	1	2	N	N	Reasonable prices	Thanks for my clear jewelry drawer I am loving this item	2015-08-28
US	5836158	RIIIRR460TAO4	B014EP20NG	977237860	Pink Queen&reg; Womens Fold Over Waist Loose Wide Leg Pants Palazzo Pants	Apparel	5	1	1	N	N	So comfy! I usually just wear them around the ...	So comfy! I usually just wear them around the house as I don't think I can pull them off, but they are long enough for me (which is awesome) and SO soft, flowy, and comfy! I'd buy more in different colors if I thought I could pull them off outside of the house.	2015-08-25
US	5836158	RH2ZBOTD7SZ56	B014EOWF0U	32244119	Pink Queen&reg; Womens High Waisted Loose Wide Leg Pants Palazzo Pants	Apparel	5	3	3	N	N	Super comfortable and very cute	Very cute, stretchy. I got the patten shown as the default and have worn them out numerous times. Super comfortable and very cute.  The stretchy fold-over waist allows for adjustments in length, and they fit well on my hips..	2015-08-25
US	45912412	R2DA2FNFF8WW89	B014EF092U	350938099	Waboats Summer Women Cusual Loose Round Neck Cotton & Linen Dress Beige	Apparel	1	0	0	N	Y	One Star	it's not a dress but a top. cheap fabric, not linen. nothing that you see on the photo	2015-08-30
US	26780399	RKM19EKA7C0UF	B014EDMV32	978395892	Simply Southern Tees Long Sleeve Preppy Lobsters Bubblegum	Apparel	5	3	3	N	Y	Love it!	It's a perfect fit and is very comfortable, the item was shipped fast, and I love it!	2015-08-31
US	643748	RQSHE1DG4CGSV	B014E1C364	859453365	Deluxe Batman Gloves Costume Accessory	Apparel	5	0	0	N	N	Five Stars	it has great detail and cheap.	2015-08-30
US	13248167	R1YVUBH1ZKI0G1	B014DXNFOM	938530671	QueenFee Women's O-neck Boho Long Maxi Dress Blue, Small	Apparel	2	0	0	N	Y	The dress is cute but the top runs small and ...	The dress is cute but the top runs small and the bottom is very long...I'm going to cut off the top and make it into a skirt	2015-08-27
US	2476688	R118S1ZIB2M80R	B014DJM1HI	908271207	Blair Women's Ruffled Henley Top	Apparel	5	0	0	N	N	Cute Henley shirt	I purchased this in Winter White, and I like it. I like the Henley style neckline. Comfy and cute. Never go wrong with Blair clothing.	2015-08-25
US	47068470	R2KYHGV3VNJ2KX	B014CZFIFK	538001774	ANGVNS Ladies Women Sexy Floor Length Strapless Long Dress for Party	Apparel	5	0	0	N	N	GREAT FOR CURVY BODY	GREAT FIT FOR CURVY BUILD.  VERY SEXY AND QUALITY FABRIC.  LOVE IT!	2015-08-27
US	21627160	RDC0XHAGALX6Q	B014CZFI6E	339409404	Amdirect 100W Manicure Pedicure Paraffin Warmer Waxing 400ml 220V Wax Heater Salon Spa	Apparel	5	1	1	N	N	Excellent warmer. The heat settings are great and the ...	Excellent warmer. The heat settings are great and the size of this warmer is perfect and portable. I'm very happy with it.	2015-08-28
US	21627160	R802AZEYN06V	B014CXGKEK	505368575	Amdirect Musical Instrument Classic Acoustic Beginners Children's 6 String Toy Guitar	Apparel	5	0	0	N	N	him and as far as I can tell seems to produce a good sound.	My son wanted to learn how to play so we got this for him. He is learning and he loves this guitar. Its light enough from.him and as far as I can tell seems to produce a good sound.	2015-08-28
US	22759539	R29NCKCU420Z13	B014CRV0R8	697044626	AHOO Women's T Shirt Eastern Washington University 32 DeepHeather	Apparel	1	0	0	N	N	One Star	Eastern Washington University's mascot is the Eagle not the Bulldog.  Whoops!	2015-08-24
US	116651	RZ5GGNDPWNSZZ	B014CRMLQC	479117835	Yazubi Men's Chino Pants Kyle Slim-Tapered Casual Pants	Apparel	5	0	1	N	Y	Five Stars	the best	2015-08-31
US	8335717	R393QI0QJEUJPJ	B014CO873Q	339482332	Amdirect Nail Polish Display Black Wire Metal Organizer Wall Rack 120 Bottle	Apparel	5	0	0	N	N	So satisfied!	Very beautiful organizer! I have fixed it on the wall in my bathroom and it looks so good! I put my nail polish and different body lotions and hair products in it. There is mandy room for different things in it. The shipping was very fast. i love it!	2015-08-28
US	39267483	RVQKRNASKTY8W	B014CHU15K	152638152	Baffle "Birth: Nailed It" Blue Text, White Onesie	Apparel	5	0	0	N	N	Five Stars	love this clever design!	2015-08-25
US	13319026	RH37OZTWNZXRJ	B014BYNZQQ	721284436	Denim Shampoo - The Original Denim Wash	Apparel	5	0	0	N	N	Love this denim wash	Love this denim wash! I’ve been using it for the past year and my jeans still look new. No longer have issues with fading like with normal detergents. A little goes a long way too, this stuff lasted me nearly a year.	2015-08-30
US	18154656	RGJ7B8QLRQR1T	B014BP7JB2	206912788	Oops Outlet Women's Strappy Cami Cut Off Shoulder Flared Swing Midi Skater Dress	Apparel	1	0	0	N	N	Material thin and see through	Very cheap material and does not fit properly. Extremely see through. Not worth the price	2015-08-23
US	48941725	R24EP4NYPLQW72	B014BJK7F8	837109726	HBO'S Game of Thrones Men's Targaryen Sigil T-Shirt	Apparel	2	0	0	N	N	Two Stars	That's not the right house, that picture is the kraken of house greyjoy.	2015-08-25
US	7630459	R1JQ6TG1FDF79Z	B014BEL68A	851833120	Soft Long Sleeve Polo Mock Turtleneck T-Shirt Stretch Top XS-L	Apparel	5	7	7	N	Y	Great staple for fall and winter!	Super soft and stretchy...great for fall and winter!! Thank you:)	2015-08-29
US	11856874	R2G2Y4FMY24134	B014ATN0BW	310074967	Women's Long Sleeve Chiffon A-line Lace Stitching Trim Mini Dress	Apparel	4	1	1	N	Y	Absolutely LOVE this dress	Absolutely LOVE this dress!!! Perfect!! I bought a size larger knowing from other reviews it ran small. I'm normally a medium and bought a large and it fit perfect!!! Can not say enough about it!	2015-08-24
US	859504	R2WU45JG1MB7RP	B014AFVAMM	183609259	Womens Maxi Boho Summer Long Skirt Evening Cocktail Party Dress	Apparel	2	0	0	N	Y	Two Stars	no like picture , looks cheap	2015-08-22
US	243037	REBZHFU331K2L	B014ABZSLA	110337434	Women's Vintage Boat Neck Audrey Hepburn Sleeve 1950s Rockabilly Cocktail Party Dress	Apparel	5	4	4	N	Y	Comfortable wearing,	Comfortable wearing.Cheap price, but nice fabric.	2015-08-29
US	20883673	R2MEW40TDYP17J	B0149XV0QG	902166264	Amdirect Professional 252 Colors Ultimate Eyeshadow Palette Cosmetic Makeup Kit Box	Apparel	5	1	1	N	N	I am not disappointed. These shadows are beautiful	Here is my wife's review of this product:<br /> I got this off amazon a little skeptical but hopeful. I buy A LOT of makeup and eyeshadow tends to be my weaknes. I  wanted a large range of colors and was hoping these would be really pigmented. I am not disappointed. These shadows are beautiful.  They are really easy to blend and they are super vibrant. I like these just as much as some of my super high end brands.	2015-08-25
US	19842932	R2GFT0TBSAJ3EC	B0149DYWIY	400638724	Women Pleated Skirts under $20 for all Occasion	Apparel	2	0	0	N	N	The quality seems pretty good but I can't wear it	The quality seems pretty good but I can't wear it! I usually wear a L (or size 10) and the XL is way too small for me!<br /><br />I received this item at a discounted price in exchange for my honest and unbiased review.	2015-08-31
US	11003977	R1UNY3PG1JPU4Q	B0149DYA4K	400638724	Women Pleated Skirts under $20 for all Occasion	Apparel	4	0	0	N	N	Must have a tiny waist to wear this	Runs very small. Need a tiny waist to wear it. Style is adorable, buttons down the front, fully lined. I ordered a large per the size chart, I normally wear an 8. About 4 inches small In the waist. Orange and off white colors are very pretty. Style, cut, and length are great. Sizing is way off.<br />I received his product at a discount in exchange for my unbiased review. Opinions are my own.<br />I alSo ordered the cotton Heather grey skirt in XL, I normally wear an 8. The XL is perfect. The back zipper works well. The thick waist and and pleats, make it fit well and look cute. Two pockets, falls above the knee. Very cute and comfortable.	2015-08-28
US	38786113	R2SFUA5H8ILNJ9	B0149DK9BS	21999892	Women Pencil Skirts under $20 for all Occasion	Apparel	3	2	3	N	N	too small...	I sadly didn't get to wear it - it was too small. Too big up top from the straps - too small at the butt. It sucks. I really wanted to try this - but from the feel of fabric it felt like it was made correctly and not cheaply.<br /><br />bought this at discount for my honest review	2015-08-30
US	37626939	R30GXTUD8Q1H6B	B0149DK9BS	21999892	Women Pencil Skirts under $20 for all Occasion	Apparel	3	3	4	N	N	Does Not Come with Suspenders	I was really looking forward to the skirt as it looked so nice with the suspenders in the picture, however mine did not come with any suspenders. The skirt also runs small so I was not able to comfortably wear it. Other than the size issue and suspenders, this is a nice skirt. It has a stretchy polyester feel to it and the buttons on the front are sewn securely (they're not going to fall off )<br /><br />I received this at a discount in exchange for my honest, unbiased review.	2015-08-31
US	48705887	R2RYK9WLZACVQE	B0149AP40W	965554680	Bella 8800 Ladies 3.7 oz. Flowy Racerback Tank, Red Marble, Large	Apparel	5	0	0	N	Y	pretty summer top	the color is nicer than expected!  and i really didnt expect much of the workmanship but i am lucky and the top i received was great!!!  The ink does run, but the material is light enough to wash in the sink in cool water and let drip dry.  Its a little big but its supposed to be swingy so i am very happy with this purchase!	2015-08-26
US	43683788	RBZXL8M2WKITH	B01498O8Y2	42880064	Women Blue and Black Dresses under $25 for all Occasion	Apparel	4	0	1	N	N	Bought this for my wife. The fit is a ...	Bought this for my wife. The fit is a little baggy but other than that she likes it a lot.	2015-08-26
US	42720514	R2ZEHGWKPXSHO2	B01498134U	69771401	Fashionable, First Class Quality, and Comfortable Tank Tops for Women	Apparel	4	0	0	N	N	I like this shirt	I like this shirt. It is light weight and does not cling to much to the skin. Only thing I do not like about it, is it is a more boxy than it is pictured. It works for me, but it may not work for everyone.	2015-08-28
